probe,fc_CD_ileum,fc_UC_colon,fc_CD_colon
7892713,-0.1968,-0.0796,0.1022
7892714,0.1883,-0.0829,-0.142
7892715,-0.2451,-0.0903,-0.1733
7892716,0.1699,0.0483,0.0703
7892717,0.1011,0.1587,0.1096
7892718,0.1573,0.2203,0.4823
7892719,-0.0148,0.0068,0.148
7892720,0.0449,0.1897,-0.0236
7892721,0.0385,0.1299,0.2116
7892722,0.147,0.0766,-0.0967
7892723,0.227,0.0349,-0.1251
7892724,-0.1264,-0.2382,0.2738
7892725,0.1887,0.1015,0.0162
7892726,-0.0388,0.0224,0.018
7892727,0.321,-0.0668,0.1463
7892728,0.2259,1.1302,0.8453
7892729,0.2518,-0.072,-0.0224
7892730,0.001,-0.0495,-0.0375
7892731,0.3514,-0.3389,-0.3404
7892732,0.0377,-0.9991,-0.0024
7892733,0.2992,0.0471,0.0915
7892734,-0.0794,0.0086,0.0651
7892735,0.0209,0.4964,0.6517
7892736,0.053,-0.0625,0.0851
7892737,0.212,-0.013,0.162
7892738,-0.1865,-0.2942,-0.4236
7892739,0.2158,0.0738,0.2509
7892740,0.1438,0.0841,-0.0865
7892741,-0.1174,-0.2485,-0.2186
7892742,0.1277,-0.4486,-0.2619
7892743,0.0518,0.0767,-0.0651
7892744,0.3826,-0.3476,-0.5676
7892745,0.1256,-0.0516,-0.0637
7892746,0.1302,0.1232,0.112
7892747,0.0651,0.2302,0.2055
7892748,0.0046,-0.2466,-0.2009
7892749,-0.1538,0.3369,0.1618
7892750,0.0698,-0.1727,-0.3119
7892751,-0.1487,-0.0474,-0.0438
7892752,-0.1142,0.0514,0.1327
7892753,0.1602,0.1516,0.1832
7892754,-0.0483,-0.011,0.0292
7892755,-0.0532,0.229,0.386
7892757,-0.2402,-0.046,0.1457
7892758,0.1841,-0.0521,0.0941
7892759,0.394,0.0176,-0.1134
7892760,-0.4163,0.0313,0.1086
7892761,-0.0747,-0.3242,-0.1996
7892762,0.1188,-0.0528,-0.1701
7892763,0.0716,0.2711,0.4891
7892764,0.1319,0.125,0.1634
7892765,0.082,0.1249,0.3839
7892766,-0.0339,0.161,0.156
7892767,-0.224,-0.1982,-0.0966
7892768,0.0965,0.1016,0.1396
7892769,-0.0037,0.0387,0.0809
7892770,-0.0617,0.0572,0.2161
7892771,-0.0562,-0.175,-0.0808
7892772,0.3812,-0.064,-0.2027
7892773,-0.0134,-0.0213,0.0867
7892774,0.0373,-0.0803,-0.3326
7892775,0.0656,-0.4772,-0.7979
7892776,-0.2681,-0.1138,-0.3166
7892777,-0.0953,-0.026,0.2185
7892778,-0.1186,-0.0137,0.0512
7892779,0.294,-0.1536,0.0752
7892780,0.1044,-0.0904,-0.0698
7892781,0.1857,0.0306,0.0929
7892782,0.1425,0.0558,0.1051
7892783,-0.1144,-0.0074,0.0899
7892784,0.4183,0.1331,0.1021
7892785,-0.1326,0.3919,0.4679
7892786,-0.0735,0.4231,0.0692
7892787,-0.0374,0.1508,0.2855
7892788,0.0434,0.0537,0.0771
7892789,0.1396,-0.0138,-0.0595
7892790,-0.0043,0.0389,-0.0641
7892791,0.054,0.2374,0.0424
7892792,0.173,-0.0885,-0.0274
7892793,-0.0385,-0.0511,-0.2461
7892794,0.2553,-0.1082,-0.3668
7892795,-0.0039,0.0627,0.0072
7892796,0.0937,-0.0201,-0.1002
7892797,-0.087,0.046,0.0152
7892798,0.0838,-0.083,0.0971
7892799,-0.0393,-0.082,-0.0625
7892800,0.1316,0.0327,-0.0548
7892801,0.0661,-0.1554,-0.278
7892802,-0.1153,-0.5199,-0.6972
7892803,0.1242,0.0335,-0.0706
7892804,0.0114,-0.1783,-0.0435
7892805,-0.1874,0.1263,0.1939
7892806,0.0405,0.0081,-0.0141
7892807,0.061,-0.2015,-0.3829
7892808,-0.1143,0.1686,0.1204
7892809,0.0929,-0.1028,-0.2334
7892810,0.2654,0.0306,0.1436
7892811,-0.0428,-0.0149,-0.1237
7892812,0.1464,0.0881,0.0927
7892813,0.0659,0.1601,0.0572
7892814,0.4901,0.113,0.1536
7892816,0.042,0.1914,0.328
7892817,0.0085,-0.0495,-0.1162
7892818,-0.0968,-0.1021,-0.1108
7892819,-0.1825,-0.1544,-0.0421
7892820,-0.0548,-0.0756,-0.0525
7892821,-0.0089,0.1428,-0.0067
7892822,-0.0664,-0.0012,0.149
7892823,-0.0984,0.3256,0.1895
7892824,-0.0414,-0.3222,-0.1197
7892825,0.0046,-0.262,-0.4562
7892826,0.3564,-0.2373,-0.2631
7892827,0.0754,0.0355,0.1007
7892828,0.1031,0.1561,0.0367
7892829,0.3653,0.2838,0.1945
7892830,0.063,0.1358,0.1643
7892831,0.2058,0.0819,0.5268
7892832,0.2966,-0.1707,-0.4479
7892833,-0.0923,-0.1628,-0.1808
7892834,0.0061,-0.1012,-0.1214
7892835,0.0309,-0.0795,-0.2714
7892836,0.1474,0.0186,0.0034
7892837,0.1039,0.3951,0.4471
7892838,0.043,0.0006,-0.1491
7892839,-0.0927,-0.1908,-0.0693
7892840,-0.0404,0.0922,0.4231
7892841,-0.0438,0.5541,0.6311
7892842,-0.001,0.1733,-0.1
7892843,0.1165,-0.2033,-0.0744
7892844,0.0915,-0.1119,-0.1527
7892845,0.0786,0.1307,0.0724
7892846,0.0677,-0.0001,-0.0065
7892847,-0.0626,-0.3138,-0.1067
7892848,0.0769,-0.1397,-0.0332
7892849,-0.1137,0.1782,0.0695
7892850,0.2666,-0.0943,0.0238
7892851,0.2927,0.0471,-0.0116
7892852,0.1717,0.1973,0.2663
7892853,0.3045,0.3392,0.2536
7892854,0.2201,-0.028,-0.0463
7892855,0.0758,-0.1438,-0.1971
7892856,0.1693,0.0985,-0.1749
7892857,0.2038,0.28,0.2806
7892858,0.0384,0.0984,0.0938
7892859,-0.0247,0.1616,0.1596
7892860,-0.0281,-0.1638,-0.0925
7892861,-0.1131,-0.4008,-0.3455
7892862,0.0201,-0.2212,-0.2091
7892863,0.0003,-0.1504,-0.2489
7892864,0.2871,0.3698,0.2793
7892865,0.1459,0.104,0.1808
7892866,0.1595,0.108,0.0949
7892867,0.0548,0.0934,0.1123
7892868,0.1301,0.0812,-0.0036
7892869,0.1251,0.2453,0.1593
7892870,-0.0657,0.0321,-0.0579
7892871,0.4256,0.2553,0.3898
7892872,-0.0001,-0.1253,-0.0192
7892873,-0.1358,0.3579,0.883
7892874,0.1334,0.1374,0.0593
7892875,0.0111,0.0632,0.0196
7892876,0.4433,-0.0416,-0.0348
7892877,0.4404,0.0793,0.1408
7892878,-0.0101,0.1868,0.3017
7892879,0.0514,0.2789,0.3131
7892880,-0.0155,0.1372,0.0854
7892881,-0.0545,-0.1502,0.0002
7892882,-0.1214,0.2175,0.1518
7892883,0.0569,0.1028,0.006
7892884,0.0968,0.1979,0.1124
7892885,-0.0965,0.0616,0.3189
7892886,-0.1113,0.0839,0.1194
7892887,-0.0751,-0.0281,-0.2629
7892888,-0.047,-0.0838,-0.0531
7892889,0.1447,0.1516,0.2501
7892890,0.1761,0.1584,0.0892
7892891,0.1307,0.1103,0.2168
7892892,-0.0141,-0.1004,-0.2259
7892893,-0.044,0.089,0.0339
7892894,0.4766,0.3448,0.2725
7892895,-0.26,-0.3881,-0.3556
7892896,0.0939,-0.4054,-0.3405
7892897,0.0236,-0.019,0.0301
7892898,0.2365,0.0589,0.0838
7892899,0.0811,0.1414,0.2369
7892900,-0.0394,0.0301,0.0182
