draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
173,78.38238890880437,54.044435964855566,100.0,100.0,25.234769554157342,9.866969284297234,8.345200450906354,2.868426369597943,6.019104214101567,2.0350052254222706
174,72.33474952136203,46.30620394843724,100.0,100.0,31.848321117865595,13.355325294157328,7.883374698295631,2.7452850957684127,5.882626455813478,2.0199545806336427
175,75.09965152619395,49.995469544744,100.0,100.0,28.791404553470922,11.819303060081253,6.473289217176537,2.242983612738547,4.913410253797945,1.684133000864696
176,71.51033649912719,45.232097955119556,100.0,100.0,31.464881795665633,13.123622227961029,5.390558368095322,1.8402293203551467,3.890435097082401,1.3143908555146355
177,83.63493053909266,53.93479568902566,100.0,100.0,20.92293870267985,5.715210843215068,11.123257086659965,2.7873333885074736,8.294051769806277,2.029954720552307
178,76.31037237101734,46.59480059173795,100.0,100.0,27.226633995190475,9.20089657810388,8.021938472694623,2.3077176756976403,5.90769890728593,1.6721236191106104
179,77.5277138195512,51.58289820489815,100.0,100.0,26.282611468858697,9.918195950049435,4.790442930742778,1.5300205414788826,3.739088917781863,1.1853207362118923
180,72.83895920959279,43.487235213827525,100.0,100.0,30.132471778060843,11.012496627945067,5.989570580147685,1.7953518270308222,4.418401383682024,1.309080129225304
181,75.59966011881397,55.08906523689618,100.0,100.0,29.680891132343657,14.318003127718315,6.577546264713141,2.7118271160542773,5.160420899568397,2.1087670764819655
182,72.97443762354472,45.158534697295835,100.0,100.0,29.86832229014865,11.494768473073414,5.595077948844729,1.7752812507542237,4.205595729660749,1.3211324131909175
183,78.22994373572747,51.505912945599,100.0,100.0,25.095726947738918,9.01028574590409,9.554432649865829,3.0277452829649554,7.130836094368487,2.219102698928721
184,73.97766964915891,49.986498006059996,100.0,100.0,29.271664880878333,12.701927044416472,4.852199834860594,1.7613014458518372,3.8183411154130042,1.376493446705962
185,70.1426837623544,45.79605043235787,100.0,100.0,33.79312366198164,15.509522879015325,9.237880455357017,3.5311823832565037,7.015926013947293,2.6418859758612245
186,66.47337105553655,43.735008831455914,100.0,100.0,36.81002058772731,18.591719861495026,6.172960963504348,2.5144268795863067,4.549301866055155,1.8342510472061146
187,74.46537067849158,49.51875110010052,100.0,100.0,29.54559276106663,12.36207153972757,9.583772355317999,3.442628945535897,7.281571165924882,2.5736540680369124
188,75.11794270710368,52.68823770861499,100.0,100.0,30.025912412457334,13.665631292613334,6.473462336344282,2.4896573700088798,4.999383598580042,1.9042644056060598
189,77.60128960263786,43.4386981275089,100.0,100.0,25.79041104594504,7.152790692976419,7.7082357017445595,1.81775197502263,6.070880547168689,1.4124848375262289
190,71.57040858867963,45.60661689118493,100.0,100.0,32.69100180052216,13.923777068523414,8.268799754810773,2.9147249135667685,6.4035090422163705,2.2278829345662388
191,65.82405932342546,36.7264297727143,100.0,100.0,37.21179689427151,15.15396469202679,5.154116300220535,1.6112880308693511,3.893368204256631,1.2061304626962643
192,68.94658250582735,43.690526018308574,100.0,100.0,36.26957311822392,16.58900330656091,7.941922672761659,2.9266171414630615,5.854113674286754,2.1267971151111786
193,69.04220178218674,44.73019025413593,100.0,100.0,35.50925040767844,16.65323295227733,8.986009010417273,3.4589039200295213,7.080250895468376,2.6906862164380874
194,78.78755697478911,49.79494698100364,100.0,100.0,24.682818145687534,8.04703472471453,8.468154720061982,2.4109496498014193,6.542238665509648,1.8350088932205577
195,80.43611079488699,61.294334644149316,100.0,100.0,24.12999676643962,10.91316227846304,11.119075650751864,4.596975428299066,8.486702829469673,3.4487569479947133
196,76.76395774626774,43.55999345923834,100.0,100.0,26.398242212530754,7.731178164696906,5.784762950473277,1.4141115335549848,4.524798594157586,1.0950450126760658
197,67.87411713125692,37.389743430967414,100.0,100.0,34.72250968781619,13.069986093496722,6.619303503383178,1.9642531478155756,4.9655341213482584,1.4553770565216895
198,80.5659796553845,48.832548640496256,100.0,100.0,23.771763538287548,6.6982039066729175,5.059176401950493,1.2118692679675913,3.967549660107672,0.9421452257442509
199,75.64441532886636,47.2696579400127,100.0,100.0,28.250529375291457,10.204741481033853,7.113855427600557,2.1627222387120004,5.23646902951177,1.5698861921099816
200,71.8809084088259,44.84877971699767,100.0,100.0,32.487522262659255,13.275604932624107,7.745435492973374,2.60131619447298,5.889571029938468,1.9519445169589478
201,79.15672256224622,55.70448620582271,100.0,100.0,25.909418429992503,10.378068931613138,8.643055318922311,3.0376463833189593,6.577018884985941,2.2781182635282615
202,72.25768746972257,44.78555791851675,100.0,100.0,31.53975788067789,12.546956644597952,5.583115417089147,1.8081976573273595,4.45415585020813,1.4309935100521476
203,77.29721847012607,55.26420876158284,100.0,100.0,26.816867169502324,11.735124523767704,6.5868757365981185,2.4946173992810294,5.146944626063965,1.930789320224524
204,74.49104775998394,42.12424185087872,100.0,100.0,28.542380758708063,9.054156480274766,7.247540454683643,1.9103457995387818,5.568790729243334,1.448545277418689
205,71.05321107725389,47.856648652885944,100.0,100.0,32.81057319270081,15.439715801230669,5.534183449071994,2.143524491810034,4.049204457478639,1.5533949141672054
206,73.25571587469528,50.10525654539666,100.0,100.0,30.90472424496653,14.087955854845092,4.3465263489306905,1.6386418892598842,3.4990405742524877,1.3118991745287634
207,86.0897141180472,66.51606015127989,100.0,100.0,17.56314232454178,6.400708311550063,10.26506054336992,3.541719951393729,7.488905542458857,2.5325526470123316
208,77.61455399046919,53.10967503180951,100.0,100.0,28.664320452742654,11.603353352866586,7.929967188831077,2.73662522429049,6.053664571525474,2.061600066055569
209,71.12397801571278,47.616890249788405,100.0,100.0,32.0514370630758,14.827173065993083,7.5356125544118076,2.9198828137848243,5.473159044740427,2.092144710849597
210,74.7904920446395,45.23106494704724,100.0,100.0,29.148921944351656,10.27559161635847,8.137936479338414,2.4066778885942886,6.14003527168776,1.7884374390214064
211,81.33362197924282,52.45117399558773,100.0,100.0,23.168401658147676,7.092624303353179,5.398413389612466,1.4241029333056376,4.174461032535614,1.09083566630912
212,70.22825618889917,37.54808253711729,100.0,100.0,33.17752166632215,11.233222896690254,7.8740376061687485,2.1320103061507223,5.943833510550379,1.5851617976633037
213,80.05625191225849,59.28167263805425,100.0,100.0,24.5393189321494,10.550253832415668,8.217651796982095,3.1452244073223112,6.23035434551078,2.353156006186996
