gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
TMPRSS11F,0.7501,0.027005,0.3428,0.291428
PRR27,-0.1542,0.738258,-0.1858,0.68897
SNORD73A,0.0,nan,0.0,nan
ANXA2P1,0.0249,0.886288,0.0321,0.865943
ABCA11P,-0.0897,0.79066,-0.0249,0.942266
FAM13A-AS1,-0.0869,0.60323,0.0507,0.76563
KCNIP4-IT1,0.1243,0.698777,-0.0347,0.910567
SNORA24,0.313,6e-06,0.3915,4e-06
SCARNA22,0.9835,0.00099,0.5523,0.040055
SNORA26,0.7461,0.0,0.4903,0.0
CEP170P1,0.0,nan,0.0,nan
SLED1,0.5027,9.2e-05,0.5487,0.001079
SNHG8,-0.9429,0.0,-0.8962,1e-06
FAM92A1P2,-0.032,0.937968,-0.1474,0.722426
GUSBP5,-0.795,0.029295,-0.6526,0.066212
HAND2-AS1,-0.2723,0.493291,-0.2476,0.538533
CSN1S2AP,0.0,nan,0.0,nan
WDFY3-AS2,-1.442,0.020539,-1.3251,0.030849
LOC93622,-0.9543,0.00039,-0.861,0.001477
UBA6-AS1,-0.0195,0.931008,0.0515,0.828413
FTLP10,0.0644,0.173555,0.0201,0.160808
LINC01096,-0.0114,0.866441,-0.0139,0.838225
NOP14-AS1,-0.3511,0.00424,-0.3283,0.035748
WWC2-AS2,0.2702,0.281964,0.234,0.349577
DANCR,-1.1054,1.1e-05,-0.9006,0.000132
CETN4P,-0.0848,0.316973,-0.0885,0.288122
LINC00575,0.0,nan,0.0,nan
PP12613,0.0584,0.207104,0.0119,0.322778
LOC100130872,0.1878,0.541683,-0.2173,0.491886
PCAT4,0.0209,0.173378,0.0377,0.187848
GK3P,0.1335,0.007091,0.1069,0.005224
PPBPP2,0.0303,0.113213,0.0,nan
KLF3-AS1,-0.6612,0.13092,-0.6021,0.167421
LOC401127,-0.0561,0.714191,-0.0282,0.863738
AFAP1-AS1,0.3591,0.279296,-0.0422,0.893665
RPL34-AS1,-0.4876,0.137417,-0.5053,0.124445
LINC02433,0.0,nan,0.0085,0.322778
SYT14P1,0.3392,1e-06,0.1758,0.020318
LINC01091,-1.7292,7.4e-05,-1.6676,9e-05
TENM3-AS1,1.2635,0.0,0.5196,1e-05
RPL21P44,0.4387,0.165204,0.0944,0.770534
LOC344967,0.1322,0.001672,0.2257,0.007905
USP17L6P,0.0,nan,0.0,nan
LINC02447,-0.3112,0.221865,-0.3427,0.17566
ZNF876P,0.089,0.786219,0.0658,0.840127
TAPT1-AS1,-0.1744,0.50931,-0.052,0.846485
PCNAP1,0.0,nan,0.0,nan
LINC01098,0.0,nan,0.0,nan
LEF1-AS1,0.0675,0.680879,0.0407,0.805812
MIR95,0.0,nan,0.0,nan
MIR218-1,0.0067,0.321537,0.0145,0.322778
MIR302A,0.0,nan,0.0,nan
MIR302B,0.0,nan,0.0,nan
MIR302C,0.0,nan,0.0,nan
MIR302D,0.0,nan,0.0,nan
MIR367,0.0,nan,0.0,nan
MIR571,0.0,nan,0.0,nan
MIR572,0.0,nan,0.0,nan
MIR573,0.0,nan,0.0,nan
MIR574,0.0,nan,0.0134,0.322778
MIR575,0.0,nan,0.0,nan
MIR576,0.0,nan,0.0,nan
MIR577,0.0,nan,0.0,nan
MIR578,0.0,nan,0.0,nan
MIR943,0.0,nan,0.0,nan
MIR297,0.0,nan,0.0,nan
MIR1305,0.0,nan,0.0,nan
MIR1243,0.0079,0.321537,0.0,nan
MIR1255A,0.0,nan,0.0,nan
MIR548G,0.0,nan,0.0,nan
MIR1269A,0.0,nan,0.0,nan
MIR548I2,0.0,nan,0.0,nan
MIR1255B1,0.0,nan,0.0,nan
MIR1973,0.0,nan,0.0,nan
MIR2054,0.0,nan,0.0,nan
CSN1S2BP,0.0,nan,0.0,nan
CTBP1-DT,0.0181,0.946975,0.0683,0.798726
TMPRSS11GP,-0.0593,0.699613,-0.0549,0.725349
TMED11P,-0.19,0.29997,-0.1408,0.439842
MIR4453HG,0.2787,0.338119,0.6069,0.048361
LOC100129931,0.1817,0.391602,0.2204,0.290666
LINC01060,0.2995,0.001609,0.2411,0.009389
FLJ20021,-1.3016,0.0,-1.2095,0.0
F11-AS1,0.0077,0.321537,0.0167,0.322778
LINC00290,0.0,nan,0.0079,0.322778
LINC01085,-0.0511,0.906171,-0.0767,0.861632
SCOC-AS1,-0.6032,0.043602,-0.442,0.131069
LINC02483,0.0,nan,0.0,nan
LINC02232,-0.9292,0.038215,-0.8918,0.045639
LOC389247,-0.4646,0.173984,-0.4888,0.163864
LINC01097,0.0,nan,0.0258,0.322778
THAP9-AS1,-0.3831,0.103348,-0.5885,0.035638
IGFBP7-AS1,-0.2332,0.297089,-0.2561,0.255313
LINC02171,0.0,nan,0.0,nan
EPHA5-AS1,-0.0179,0.782162,-0.0831,0.174809
