gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
IL25,0.0141,0.321537,0.0,nan
OTUB2,0.4586,0.19136,0.2027,0.556504
IRF2BPL,-0.2644,0.012685,-0.1094,0.243065
RIOX1,0.3497,0.292079,0.4452,0.197748
IPO4,0.2317,0.586534,0.4105,0.359728
CLMN,0.3796,0.201407,0.3188,0.281608
CATSPERB,0.7616,0.0,0.5085,9e-06
L2HGDH,-0.8649,0.000356,-0.7218,0.001605
BBOF1,-0.0402,0.817013,0.1141,0.501803
NYNRIN,-1.2849,1e-06,-1.0983,1.1e-05
TMX1,0.1552,0.259982,0.1911,0.172064
SGPP1,-0.1975,0.361728,-0.0876,0.675478
AMN,-0.3828,0.335801,-0.4093,0.307224
IFI27L2,-0.2627,0.322202,-0.0963,0.711553
FSCB,0.0145,0.321537,0.0676,0.207254
SETD3,0.1078,0.604733,0.0912,0.672053
BRMS1L,0.1386,0.554759,0.0309,0.893042
GON7,0.4818,0.116812,0.529,0.089162
RNASE7,0.6196,0.021187,0.1753,0.583089
INSM2,0.0986,0.001033,0.087,0.015223
BTBD6,-1.0695,0.0,-0.8195,1e-06
ZFHX2,0.567,0.004572,0.8225,0.000162
CIPC,-0.3709,0.189499,-0.3792,0.18521
DTD2,0.357,0.127717,0.3431,0.140981
RPL10L,0.0,nan,0.0199,0.322778
SOCS4,0.9077,0.004132,0.7967,0.00892
SPTSSA,0.6485,0.015661,0.4622,0.065057
RNASE8,0.0,nan,0.0,nan
CARMIL3,-0.9385,0.02387,-0.5713,0.144911
TTC5,-0.434,0.023491,-0.4432,0.025445
KCNH5,0.1342,0.296863,-0.0384,0.681659
MAPK1IP1L,0.3641,0.00072,0.4691,8.6e-05
GPHB5,0.0,nan,0.0,nan
IFI27L1,-0.3855,0.021509,-0.3091,0.109859
RNASE11,0.0,nan,0.0,nan
TRMT61A,-0.7767,0.000291,-0.4754,0.015431
LRR1,0.2785,0.553632,0.7618,0.113074
ACOT4,-0.8726,0.000963,-0.2929,0.222343
RDH12,-1.106,0.009272,-0.774,0.054254
FAM161B,-0.4614,0.047799,-0.6086,0.012737
CEP128,1.1158,0.025645,0.6447,0.162984
TDRD9,1.9489,0.0,1.916,0.0
SLC24A4,0.4365,0.270291,0.6795,0.10437
KLHDC1,-0.5501,0.054331,-0.7742,0.012317
OR4Q3,0.0406,0.321537,0.0,nan
PPP1R36,-0.8018,0.038664,-0.5923,0.113658
FAM71D,0.122,0.004092,0.1341,0.002411
REM2,-0.0643,0.761533,-0.1533,0.488871
TPPP2,0.0778,0.011838,0.0887,0.014774
GSC,0.3311,0.413115,0.0064,0.98704
C14orf39,0.2934,0.013161,0.1026,0.298078
CLEC14A,-0.2312,0.245599,-0.2899,0.159347
UBR7,-0.3594,0.089971,-0.1821,0.373985
PRIMA1,-1.928,0.000241,-1.1866,0.0068
COQ6,-0.5534,0.025496,-0.5045,0.048838
ISM2,-0.1699,0.343436,-0.1166,0.52641
VSX2,-0.3273,0.085983,-0.2818,0.133704
COX8C,0.0075,0.321537,0.0215,0.168955
EML5,0.1311,0.562055,-0.013,0.954332
LRRC74A,0.0137,0.162426,0.0,nan
GNPNAT1,0.7059,0.002162,0.8373,0.000591
TBPL2,0.0,nan,0.0,nan
FBXO33,-0.1716,0.08528,-0.1731,0.079794
FITM1,-0.3713,0.21553,-0.2071,0.480937
DEGS2,-0.4515,0.075387,-0.2208,0.359009
TOMM20L,0.0,nan,0.0,nan
SNORD56B,0.0,nan,0.0,nan
SNHG10,-0.5775,0.027378,-0.3872,0.127001
ADAM6,0.0,nan,0.0272,0.172641
RPPH1,0.2165,0.445692,0.1227,0.667313
RN7SL1,0.3847,0.444733,0.1236,0.804827
MEG3,0.2063,0.450848,0.368,0.150263
ITPK1-AS1,0.9112,0.121714,1.244,0.044593
SNORD8,0.4083,0.139136,0.098,0.712422
IGBP1P1,-0.3973,0.133199,-0.3535,0.177365
SNORA28,0.0852,0.015625,0.1855,0.03369
SCARNA13,0.4909,0.073419,0.2172,0.409521
SNORA79,0.253,0.000824,0.2273,0.006447
SNORD9,0.0,nan,0.0,nan
SNORD112,0.0208,0.211975,0.0792,0.165369
SNORD114-1,-0.1104,0.619582,-0.2094,0.347071
SNORD114-2,0.0,nan,0.0,nan
SNORD114-3,-0.0344,0.343436,-0.0344,0.343436
SNORD114-4,0.0,nan,0.0081,0.322778
SNORD114-5,0.0,nan,0.0,nan
SNORD114-6,0.0,nan,0.0187,0.322778
SNORD114-7,0.0,nan,0.0,nan
SNORD114-8,0.0,nan,0.0,nan
SNORD114-9,-0.0522,0.580717,-0.0621,0.510041
SNORD114-10,0.01,0.321537,0.0,nan
SNORD114-11,0.0057,0.321537,0.0,nan
SNORD114-12,-0.0169,0.652334,-0.0344,0.343436
SNORD114-13,0.0,nan,0.0,nan
SNORD114-14,-0.0092,0.896605,0.0506,0.538317
SNORD114-15,0.0,nan,0.0,nan
SNORD114-16,0.0,nan,0.0,nan
SNORD114-17,0.0,nan,0.0,nan
SNORD114-18,0.0,nan,0.0,nan
SNORD114-19,0.0,nan,0.0,nan
SNORD114-20,0.0,nan,0.0,nan
SNORD114-21,-0.0151,0.830014,0.0145,0.859172
SNORD114-22,0.0321,0.096372,0.0204,0.165585
SNORD114-23,0.0,nan,0.0,nan
SNORD114-24,0.0,nan,0.0,nan
SNORD114-25,-0.0633,0.343436,-0.0548,0.412098
SNORD114-26,-0.0502,0.343436,-0.0502,0.343436
SNORD114-27,0.0,nan,0.0,nan
SNORD114-28,0.0,nan,0.0,nan
SNORD114-29,0.0,nan,0.0,nan
SNORD114-30,0.0,nan,0.0108,0.322778
SNORD114-31,0.0,nan,0.0,nan
SNORD113-1,0.0,nan,0.0,nan
SNORD113-2,0.0271,0.165508,0.012,0.322778
SNORD113-3,0.0,nan,0.0,nan
SNORD113-4,0.0237,0.096397,0.0343,0.092806
SNORD113-5,0.0,nan,0.0,nan
SNORD113-6,0.0,nan,0.0,nan
SNORD113-7,0.0,nan,0.012,0.322778
SNORD113-8,0.0363,0.179082,0.0868,0.060623
SNORD113-9,0.0,nan,0.0093,0.322778
SNORD127,-0.0633,0.343436,-0.0287,0.67396
SNORD126,0.0,nan,0.0,nan
SNORA11B,0.1164,0.004425,0.1069,0.007678
ADAM21P1,0.0,nan,0.0,nan
RPL13AP3,-0.1728,0.502477,0.0314,0.905493
SERPINA13P,0.0,nan,0.0,nan
LINC00643,-0.6625,0.235545,-0.8701,0.125726
DICER1-AS1,-0.1615,0.551936,-0.169,0.545971
LINC01550,-1.7042,1e-06,-1.5218,5e-06
DHRS4-AS1,-0.4639,0.397505,-0.0865,0.874665
LINC00523,0.0,nan,0.0,nan
FUT8-AS1,0.1928,0.672443,-0.1457,0.746627
LINC00638,0.1875,0.322513,0.2228,0.252247
FOXN3-AS2,0.2496,0.000122,0.1835,0.001143
LINC01551,0.0,nan,0.069,0.201857
LINC00239,-0.016,0.963218,-0.1305,0.708601
LINC00520,0.1386,0.846711,0.1177,0.869093
FAM30A,1.033,3e-06,0.2159,0.107046
FAM181A-AS1,0.0,nan,0.0,nan
LOC145474,1.8875,1e-06,1.8232,0.0
KTN1-AS1,-0.1319,0.553404,0.1046,0.628958
RN7SL2,-0.4888,0.261303,-0.5445,0.225972
ARHGAP5-AS1,-0.3643,0.167295,-0.3496,0.187166
LINC00221,0.1185,0.046289,0.0274,0.189247
TCL6,0.021,0.098194,0.0341,0.159679
LOC100289511,0.0694,0.193445,0.0448,0.429879
OTX2-AS1,-0.2108,0.49424,-0.3414,0.271356
PSMA3-AS1,0.3191,0.07954,0.2825,0.110692
MIR208A,0.0,nan,0.0,nan
MIR203A,0.0,nan,0.0,nan
MIR127,0.0,nan,0.0,nan
MIR134,0.0,nan,0.0,nan
MIR136,0.0,nan,0.0,nan
MIR154,0.0,nan,0.0,nan
MIR299,0.0,nan,0.0,nan
MIR376C,0.0,nan,0.0,nan
MIR369,0.0,nan,0.0,nan
MIR370,0.0,nan,0.0,nan
MIR376A1,0.0,nan,0.0,nan
MIR377,0.0,nan,0.0,nan
MIR379,0.0,nan,0.0,nan
MIR380,0.0,nan,0.0,nan
MIR381,0.0,nan,0.0,nan
MIR382,0.0,nan,0.0,nan
MIR342,0.0,nan,0.0,nan
MIR337,0.0,nan,0.0,nan
MIR323A,0.0,nan,0.0,nan
MIR345,0.0,nan,0.0,nan
MIR431,0.0,nan,0.0,nan
MIR433,0.0,nan,0.0,nan
MIR329-1,0.0,nan,0.0,nan
MIR329-2,0.0,nan,0.0,nan
MIR409,0.0,nan,0.0,nan
MIR412,0.0,nan,0.0,nan
MIR410,0.0,nan,0.0,nan
MIR376B,0.0,nan,0.0,nan
MIR485,0.0,nan,0.0,nan
MIR487A,0.0,nan,0.0,nan
MIR493,0.0,nan,0.0,nan
MIR432,0.0,nan,0.0,nan
MIR494,0.0,nan,0.0,nan
MIR495,0.0,nan,0.0,nan
MIR496,0.0,nan,0.0,nan
MIR539,0.0,nan,0.0,nan
MIR544A,0.0,nan,0.0,nan
MIR376A2,0.0,nan,0.0,nan
MIR487B,0.0,nan,0.0,nan
MIR624,0.0,nan,0.0,nan
MIR625,0.0,nan,0.0,nan
MIR411,0.0,nan,0.0,nan
MIR654,0.0,nan,0.0,nan
MIR655,0.0,nan,0.0,nan
MIR656,0.0,nan,0.0,nan
MIR758,0.0,nan,0.0,nan
MIR668,0.0,nan,0.0,nan
MIR770,0.0,nan,0.0,nan
MIR300,0.0,nan,0.0,nan
MIR541,0.0,nan,0.0,nan
MIR889,0.0106,0.321537,0.0,nan
MIR665,0.0,nan,0.0,nan
MIR543,0.0,nan,0.0,nan
MIR208B,0.0,nan,0.0,nan
MIR1185-2,0.0,nan,0.0,nan
MIR1185-1,0.0,nan,0.0,nan
MIR1247,0.0,nan,0.0,nan
MIR1260A,0.0,nan,0.0,nan
MIR548H1,0.0,nan,0.0,nan
MIR1197,0.0,nan,0.0,nan
SLC25A21-AS1,-1.3931,0.001132,-0.9979,0.010192
LINC00226,0.0273,0.112127,0.0,nan
TEX21P,-0.0952,0.604772,-0.201,0.274149
ECRP,0.0262,0.867968,-0.1344,0.384488
LINC00605,-0.0517,0.818241,-0.1611,0.480354
LINC02291,0.0495,0.474703,-0.0418,0.431668
LINC00642,0.0121,0.159146,0.0,nan
MIR3173,0.0,nan,0.0,nan
MIR1193,0.0,nan,0.0,nan
MIR323B,0.0,nan,0.0,nan
MIR4309,0.0,nan,0.0,nan
MIR4307,0.0,nan,0.0,nan
MIR4308,0.0,nan,0.0,nan
FOXN3-AS1,-0.0235,0.942408,0.1833,0.579404
MIR548Y,0.0,nan,0.0,nan
FRMD6-AS1,0.5663,0.143659,0.6597,0.095363
ADAM20P1,0.602,0.044973,0.8094,0.011013
DIO2-AS1,0.0967,0.004223,0.053,0.026258
LOC100506071,0.171,0.001898,0.0785,0.050044
LINC00640,-1.5093,0.000973,-1.08,0.009029
LINC01220,0.0617,0.024544,0.0789,0.017466
LINC00637,-0.4846,0.269057,-0.5433,0.222682
LINC01148,0.0,nan,0.0507,0.322778
TUNAR,0.0077,0.321537,0.0,nan
LOC100288846,0.2899,0.19484,0.2065,0.357126
LINC00641,0.512,0.004247,0.4169,0.017269
MIR151B,0.0106,0.321537,0.0,nan
MIR4503,0.0,nan,0.0,nan
MIR4504,0.0,nan,0.0,nan
MIR4505,0.0,nan,0.0,nan
MIR4506,0.0,nan,0.0,nan
MIR2392,0.0,nan,0.0,nan
MIR4507,0.0,nan,0.0,nan
MIR4706,0.0,nan,0.0,nan
MIR4707,0.0,nan,0.0,nan
MIR4708,0.0,nan,0.0,nan
MIR4709,0.0,nan,0.0,nan
MIR203B,0.0,nan,0.0,nan
MIR4710,0.0,nan,0.0,nan
LINC00639,0.1663,0.042079,0.1752,0.09153
FLJ22447,0.4851,0.000479,0.4095,0.004554
LINC00645,-0.0985,0.500388,-0.0807,0.59644
LINC00648,-0.4936,0.107229,-0.4928,0.106537
LOC100506321,0.7656,0.00029,0.8274,0.000174
HIF1A-AS2,2.4552,0.0,1.9901,0.0
LINC01146,0.8193,0.0,0.6739,6.8e-05
LINC02297,0.0,nan,0.0,nan
ELK2AP,0.0,nan,0.0,nan
POTEH-AS1,0.0,nan,0.0,nan
HIF1A-AS1,0.1023,0.003268,0.041,0.322778
FRMD6-AS2,0.5972,0.116093,0.6993,0.073965
MEG9,0.3402,0.129407,0.4709,0.04822
PTCSC3,0.0,nan,0.0111,0.322778
MIR5195,-0.0556,0.343436,-0.0556,0.343436
MIR5580,0.0,nan,0.0,nan
MIR5586,0.0,nan,0.0,nan
MIR5694,0.0371,0.321537,0.0,nan
ACTN1-AS1,0.0,nan,0.0,nan
LINC00609,0.0106,0.321537,0.0,nan
BMS1P18,0.0,nan,0.0,nan
BMS1P17,0.0,nan,0.0,nan
LINC00871,-0.3995,0.082061,-0.3995,0.082061
LINC00911,-0.033,0.772599,-0.0853,0.45372
NKX2-1-AS1,0.0,nan,0.0,nan
LINC02324,0.0094,0.321537,0.0234,0.168418
LINC00644,-0.0344,0.343436,-0.0344,0.343436
LINC00618,0.0322,0.904185,-0.0112,0.966466
VASH1-AS1,-0.0134,0.971128,-0.0364,0.921111
MIR381HG,0.0,nan,0.0,nan
MIR6076,0.0,nan,0.0,nan
MIR6717,0.0,nan,0.0,nan
MIR6764,0.0,nan,0.0,nan
MIR6765,0.0,nan,0.0,nan
MIR7703,0.0,nan,0.0,nan
MIR7843,0.0,nan,0.0,nan
MIR7855,0.0,nan,0.0,nan
MIR8071-1,0.0,nan,0.0,nan
MIR8071-2,0.0,nan,0.0,nan
LINC02315,-0.0218,0.693707,-0.0502,0.343436
LOC100506476,-0.4742,0.149455,-0.5499,0.096522
LINC02308,-0.5309,0.032807,-0.4326,0.073635
LOC101926933,0.0,nan,0.0365,0.19071
LOC101927045,0.1253,0.066395,0.1606,0.037703
LINC02294,0.0,nan,0.0,nan
MIR4307HG,0.0311,0.084548,0.0081,0.322778
LOC101927124,-0.5315,0.296256,-0.5236,0.303709
LOC101927418,0.066,0.265328,0.038,0.465651
LOC101927620,0.2856,0.222303,0.149,0.512422
LOC101928075,0.3149,3.4e-05,0.1821,0.002142
LINC01467,0.0,nan,0.0,nan
LINC01147,0.024,0.209014,0.0,nan
LINC02292,0.0223,0.321537,0.0,nan
LOC101928909,-0.0384,0.896584,0.1209,0.681623
LOC101929718,-0.0385,0.927192,0.1851,0.654049
LINC02328,0.0754,0.682744,-0.0368,0.841467
LINC02325,0.096,0.0465,0.0226,0.180112
LOC101927178,0.6269,0.034491,0.7347,0.016537
LINC01303,1.8062,2.9e-05,1.5363,0.00013
LOC101929572,0.0,nan,0.0,nan
LOC100508046,0.0,nan,0.0,nan
DUXAP10,0.0,nan,0.0,nan
LINC02298,-1.5038,0.00012,-1.3518,0.000274
LINC01500,0.0,nan,0.0,nan
LOC102723809,0.0235,0.09395,0.0111,0.322778
LOC102724153,0.0236,0.931525,0.2258,0.432279
LINC02289,0.0391,0.943243,0.0813,0.884031
LINC02288,-0.0489,0.921451,-0.1094,0.824984
LOC102724814,-0.3159,0.49449,-0.3788,0.413749
LINC02293,0.0,nan,0.0,nan
PRMT5-AS1,-0.3061,0.426786,-0.2411,0.541451
LOC254028,0.0109,0.321537,0.0078,0.322778
DUXAP9,-0.0776,0.724904,-0.1447,0.514035
LOC730202,0.003,0.991024,0.0093,0.972315
LOC100507437,0.0483,0.102809,0.0244,0.322778
FOXG1-AS1,0.0066,0.321537,0.0,nan
LINC01269,0.0,nan,0.0424,0.198403
LINC00524,-0.1463,0.084158,-0.1246,0.136972
LOC102723604,1.1496,0.000236,0.9477,0.001904
SALRNA1,0.3052,0.29712,0.11,0.715048
MHRT,0.0,nan,0.0,nan
LINC01588,0.9262,0.049095,0.6304,0.165175
MIR3171,0.0,nan,0.0,nan
MIR4537,0.0,nan,0.0,nan
MIR4538,0.0,nan,0.0,nan
MIR4539,0.0,nan,0.0,nan
LINC01599,0.1799,0.003837,0.1048,0.071618
SNORA89,0.0,nan,0.0,nan
BMS1P22,0.0,nan,0.0,nan
LINC01629,0.0134,0.160592,0.035,0.166071
LINC02329,0.0,nan,0.0146,0.322778
LOC105370586,0.0,nan,0.0,nan
LOC105370622,0.635,0.00042,0.6532,0.000416
LOC105370697,0.0697,0.274612,0.0231,0.711057
LINC02274,0.1287,0.000396,0.2014,0.003929
LINC02314,0.0,nan,0.0,nan
LOC101927690,0.2859,0.000274,0.0931,0.026086
LOC101928123,0.7882,0.001929,0.2022,0.338473
LOC101928143,0.7042,0.128775,0.8548,0.077173
LOC101928504,0.1208,0.655888,0.1602,0.558268
LINC02287,-0.1633,0.364116,-0.177,0.326472
LINC02282,0.0,nan,0.0,nan
LOC105370457,0.0,nan,0.0,nan
LOC105370473,0.0,nan,0.0,nan
LOC105370489,0.932,0.001556,0.88,0.003038
LOC105378183,0.0,nan,0.0,nan
LOC105370619,0.0099,0.321537,0.0,nan
LINC00517,-0.0497,0.793006,-0.1156,0.562733
LINC02280,-0.2517,0.555388,-0.2842,0.508517
SNORA101B,0.0721,0.159745,0.0654,0.181501
LOC100996664,-1.0709,7.4e-05,-0.886,0.000255
LOC646548,0.0229,0.710511,-0.0138,0.803373
LINC00677,0.1432,0.001203,0.1173,0.003418
SFTA3,0.0,nan,0.0,nan
HIF1A-AS3,1.0404,0.0,0.5703,0.000265
GSC-DT,0.0,nan,0.0488,0.110493
LINC00519,0.2532,0.012515,0.2606,0.008252
RN7SL3,0.4006,0.000126,0.318,0.000412
SNORA79B,0.1512,0.451078,-0.262,0.177196
SNORD169,0.0,nan,0.0,nan
SNORD3P3,0.0,nan,0.0,nan
MEG8,-0.2363,0.449149,0.0287,0.927616
LINC02312,0.1774,0.002355,0.1058,0.04841
LINC02318,0.0,nan,0.0199,0.322778
LINC02302,0.0223,0.321537,0.0,nan
LINC02322,0.0075,0.321537,0.0,nan
LINC02285,0.3992,0.0,0.3554,0.000227
LINC02317,0.0073,0.321537,0.0079,0.322778
LINC02311,0.0,nan,0.0,nan
LINC02332,-0.0675,0.528303,-0.0265,0.808151
LINC02313,0.0,nan,0.0,nan
SEC23A-AS1,0.0204,0.089377,0.0085,0.322778
LINC02303,0.0,nan,0.0,nan
LINC02310,0.0,nan,0.0,nan
LINC02330,0.0,nan,0.0,nan
LINC02299,0.0268,0.321537,0.0271,0.189074
LINC02304,-0.2619,0.396197,-0.2714,0.379097
LINC02323,0.8011,0.000998,0.4996,0.030574
LINC00216,2.3661,0.0,2.3233,0.0
LINC02691,0.1966,0.34202,0.1811,0.384226
LINC02301,-0.0502,0.343436,-0.0502,0.343436
LINC02588,0.0125,0.321537,0.0775,0.269714
LOC107984703,0.1423,0.043166,0.0582,0.257593
LOC105370401,0.1725,0.000829,0.1838,0.007027
LOC728755,0.0145,0.321537,0.0,nan
LOC100506358,-0.2094,0.348769,-0.1112,0.624067
SRP54-AS1,-0.1749,0.497469,-0.2286,0.384457
G2E3-AS1,0.0213,0.203163,0.0176,0.162579
DIO3OS,-3.4066,0.0,-3.0319,0.0
LOC105370687,-0.9089,0.014114,-0.5962,0.085383
LOC105370708,-0.1352,0.443824,-0.097,0.583789
LOC112268140,0.6064,0.008437,1.2229,1.6e-05
LNCRNA-ATB,0.0066,0.321537,0.0098,0.322778
LOC112268124,0.1219,0.538414,0.0967,0.68038
C14orf178,-0.0622,0.343436,-0.0303,0.655532
C14orf177,0.0,nan,0.0,nan
MIR9718,0.0,nan,0.0,nan
MIR12121,0.0,nan,0.0,nan
LINC01297,-0.4001,0.408116,-0.3768,0.436123
LINC01297-DUXAP10-NBEAP6,-0.5146,0.426124,-0.4746,0.463738
BLM,2.28,4e-06,1.9734,1.5e-05
CAPN3,-0.9464,0.000419,-0.4847,0.034988
CYP19A1,0.8523,0.056547,2.5897,5e-06
EPB42,-0.4862,0.105466,-0.4867,0.104792
ETFA,-0.2547,0.226176,-0.2179,0.311541
FAH,-0.6738,0.001326,-0.5692,0.01279
FBN1,0.2792,0.161574,0.5496,0.009143
LIPC,-1.4362,0.000608,-1.1825,0.002522
MYO5A,0.797,3e-06,0.7305,8e-06
OCA2,-1.5253,0.002302,-1.2394,0.008288
RLBP1,-0.4706,0.224403,-0.4584,0.2359
SLC12A1,0.4697,2.8e-05,0.2642,0.003587
TPM1,-0.6054,0.005097,-1.1189,1.8e-05
UBE3A,-0.0751,0.55913,0.0354,0.775058
CYP1A1,-1.4905,0.022124,-1.3874,0.031081
HEXA,0.5177,0.000152,0.3383,0.010641
ALDH1A3,3.0972,4.5e-05,2.4639,0.000248
CHRNA3,-0.0722,0.659398,-0.0031,0.985411
CHRNA5,0.3957,0.181307,0.4574,0.125858
CHRNA7,-0.1825,0.524811,0.0523,0.8601
CHRNB4,0.041,0.165355,0.0,nan
CYP1A2,-1.039,0.019319,-1.0775,0.016003
CYP11A1,-0.293,0.349647,-0.1962,0.53514
GABRA5,-0.2064,0.343436,-0.1817,0.404074
GABRB3,-1.2085,0.01547,-0.8482,0.075041
IGF1R,-0.1052,0.527859,-0.1526,0.368413
PPIB,0.9499,0.009171,0.678,0.046152
RPL4,-1.0951,0.001791,-1.1003,0.001779
GOLGA6L1,0.0,nan,0.0,nan
GALK2,-0.0446,0.81854,0.0403,0.831308
OR4F15,0.0,nan,0.0319,0.172766
ZNF280D,0.0868,0.676858,-0.0697,0.737499
ANXA2,-0.2208,0.586678,0.2483,0.544315
RPLP1,-1.3743,0.0,-1.3878,0.0
BMF,0.1863,0.714364,-0.1396,0.792531
OR4F4,0.0162,0.188768,0.0,nan
ZNF774,-0.6968,0.095952,-0.6369,0.127198
ITGA11,-1.4469,0.00086,-2.2298,1.2e-05
OR4M2,0.0,nan,0.0,nan
OR4N4,0.0,nan,0.0,nan
OR4F6,0.0,nan,0.0,nan
ZSCAN2,-0.0595,0.821681,-0.0438,0.870145
FSD2,-0.2479,0.67872,-0.071,0.904982
NTRK3,-3.4333,0.0,-2.9557,0.0
C2CD4B,1.8336,4e-06,1.2169,0.000225
UACA,0.3712,0.012465,-0.014,0.915317
SAXO2,-0.0069,0.95221,-0.0485,0.650146
NIPA2,0.8356,0.082162,0.8585,0.078517
BTBD1,0.4225,0.154938,0.1748,0.549781
GRAMD2A,-0.8517,0.028386,-0.4593,0.211537
ADAL,0.4262,0.350383,0.5724,0.220412
HYKK,-1.3973,1e-05,-1.648,1e-06
GDPGP1,-0.113,0.78184,0.0421,0.918709
EIF2AK4,0.187,0.15089,0.1507,0.25988
SLTM,0.6443,0.000982,0.6542,0.000928
CIAO2A,0.7778,0.00418,1.0357,0.000549
CKMT1A,-0.9326,0.006152,-0.7367,0.043124
RCCD1,0.1623,0.402605,0.1187,0.588782
VPS13C,0.9479,3.2e-05,0.8729,7.3e-05
ICE2,0.1439,0.371338,0.16,0.31301
GCOM1,0.7092,0.400628,0.8156,0.339402
MYZAP,-1.4438,3e-06,-0.9929,0.000264
POLR2M,0.1718,0.742596,0.2233,0.674286
SERF2,0.2786,0.119543,0.2421,0.244717
RPS17,-0.7397,0.000107,-0.7267,0.000147
GOLGA8B,0.0613,0.806932,-0.0394,0.874512
CD276,0.4312,0.103965,0.4076,0.12237
DUT,-0.1696,0.315901,-0.1159,0.469993
PCLAF,1.231,0.006699,0.9869,0.029641
CPLX3,0.3064,0.157807,0.0581,0.754919
IQCH,0.0373,0.805484,0.0426,0.794733
CALML4,-0.0396,0.834799,0.0984,0.612082
SPINT1,-0.838,0.037186,-0.8471,0.035265
CYFIP1,0.0794,0.611243,0.2866,0.014166
NGRN,-0.6173,9.9e-05,-0.418,0.002859
DNAAF4,0.1538,0.642488,0.5126,0.133291
RYR3,-2.2486,0.0,-2.133,0.0
GOLGA6A,0.0,nan,0.0,nan
INSYN1,-0.9584,0.026109,-0.685,0.093591
UNC45A,-0.5991,0.0,-0.541,1e-06
ARHGAP11B,0.9075,0.0,0.9292,0.0
C15orf56,-0.2948,0.167048,-0.142,0.502965
MESP2,-0.166,0.466588,-0.1972,0.386752
MINDY2,-0.1026,0.389755,-0.1013,0.399643
EFL1,2.1327,0.002896,1.7305,0.010139
LINS1,0.6942,0.018384,0.6459,0.030987
REC114,0.0,nan,0.0,nan
SLC12A6,0.3803,0.041557,0.3927,0.033833
CHD2,0.7841,2.1e-05,0.6211,0.00024
CRTC3,-0.6002,0.002148,-0.3603,0.037777
SNUPN,0.2496,0.621008,0.4123,0.43566
ZFYVE19,-0.0493,0.756483,0.1367,0.333066
CPEB1,-1.2152,0.079356,-1.2094,0.084178
WHAMM,0.1089,0.416141,0.2658,0.065842
TMEM202,0.0,nan,0.0,nan
TMC3,0.0599,0.560738,-0.0575,0.549586
UNC13C,-1.5206,0.000789,-1.5507,0.000645
MGA,0.504,0.181467,0.4491,0.228507
CCDC32,-0.1613,0.315399,-0.0424,0.801385
ULK3,-1.2062,6e-05,-1.1135,0.000752
KBTBD13,-0.0431,0.416425,-0.0502,0.343436
SH2D7,0.0185,0.321537,0.0,nan
TUBGCP5,-0.417,0.059852,-0.4423,0.086471
PGPEP1L,-0.0622,0.343436,-0.0622,0.343436
PSMA4,0.6258,0.00012,0.79,1e-05
FMN1,0.1404,0.525031,0.3416,0.146234
PAQR5,-0.8571,0.004039,-0.8762,0.004966
TLE3,0.9236,5.2e-05,0.7414,0.000357
ADAM10,1.3418,0.0,1.2337,0.0
TMEM87A,-0.2878,0.00223,-0.1271,0.123324
FANCI,0.5343,0.036979,0.6618,0.009948
MFGE8,-1.2784,0.0,-1.2133,1e-06
JMJD7,-0.6065,0.002189,-0.4326,0.049982
PLA2G4B,-0.0185,0.942505,0.0205,0.935192
BCL2A1,5.1451,0.0,4.6759,0.0
POLG,0.1165,0.660761,0.149,0.576529
CSK,0.4713,0.092312,0.4141,0.13242
SPG21,-0.1607,0.549219,-0.1678,0.536104
RASGRP1,1.5294,1e-06,1.2922,5e-06
MAPKBP1,-0.4268,0.084614,-0.3476,0.1562
USP8,0.2333,0.192208,0.2509,0.161873
BUB1B-PAK6,-0.5494,0.168719,-0.2142,0.584092
C15orf41,0.6861,0.185585,0.4343,0.393196
CLK3,0.4501,0.078616,0.3007,0.220526
ISLR2,-0.8158,0.04441,-0.765,0.056774
PPP1R14D,-0.2254,0.255772,-0.2237,0.26021
DNAJA4,-0.7057,0.001,-0.4452,0.018225
APBA2,1.7645,0.000404,0.4621,0.265461
HAUS2,0.2116,0.320248,0.2692,0.309168
C15orf62,-1.1575,1.7e-05,-1.1774,1.5e-05
PPIP5K1,-1.8283,0.009927,-1.4064,0.038891
MEF2A,0.2527,0.080784,0.2903,0.059074
ACAN,0.9276,0.000515,0.2506,0.255993
LTK,0.3222,0.178108,0.1116,0.639161
INTS14,0.2322,0.64489,0.252,0.620823
DPH6,-0.2594,0.591625,-0.3004,0.535267
TP53BP1,0.2669,0.11307,0.1628,0.320491
NIPA1,-0.0445,0.803277,-0.0907,0.641046
EDC3,-0.2757,0.07087,-0.571,0.006459
STRA6,0.6502,0.132112,-0.1451,0.704297
KNSTRN,0.1536,0.535198,0.032,0.908156
CHAC1,2.4325,0.0,1.6622,6e-06
TMOD2,0.5504,0.034935,0.1634,0.529196
DIS3L,-1.8473,0.0,-1.5705,1e-06
FES,1.1402,0.048042,1.3684,0.022698
COPS2,-0.0795,0.501883,-0.0044,0.969328
LYSMD2,1.4722,0.004305,1.4674,0.004399
C15orf61,-1.0425,0.006492,-0.9057,0.01411
DET1,-1.1192,0.000272,-0.886,0.002233
SCG5,2.2481,0.0,2.0005,0.0
DENND4A,0.2602,0.088702,0.1975,0.200233
TM6SF1,1.0426,0.061102,0.9384,0.093481
DTWD1,-0.4041,0.013376,-0.2178,0.143252
