Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,chromatin remodeling (GO:0006338),23/103,0.1349223901612035,0.4280654188142264,0,0,1.3399217638691323,2.683937730440292,RB1;KDM6B;KDM5B;SUV39H2;DAXX;SMARCC1;PBRM1;SATB1;ZBTB1;SMARCA5;RSF1;BAZ2B;INO80;BAZ1A;ARID1A;MYSM1;PAK1;RUVBL1;PADI4;HNRNPC;TOP1;ZBTB7A;BPTF
GO_Biological_Process_2021,defense response to Gram-negative bacterium (GO:0050829),17/73,0.1362169928218746,0.4319173560811805,0,0,1.4144824927983122,2.819779519188759,SLC11A1;SERPINE1;HMGB2;RNASE6;TREM2;RNASE2;LYZ;IL6;IL23A;RNASE7;TLR9;TNFRSF14;LBP;IL6R;CAMP;LTF;S100A7
GO_Biological_Process_2021,3'-UTR-mediated mRNA destabilization (GO:0061158),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,ZC3H12D;ZFP36;KHSRP;ZC3H12A;TARDBP
GO_Biological_Process_2021,mitotic sister chromatid cohesion (GO:0007064),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,RB1;SGO1;NIPBL;CDCA5;REC8
GO_Biological_Process_2021,motor neuron axon guidance (GO:0008045),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,CHN1;RHOG;RAC2;RHOH;LAMC2
GO_Biological_Process_2021,negative regulation of epithelial cell differentiation (GO:0030857),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,SPRED3;SPRED1;IFNG;MMP9;XDH
GO_Biological_Process_2021,negative regulation of telomere maintenance (GO:0032205),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,RTEL1;SLX4;ERCC4;TERF2IP;SMG6
GO_Biological_Process_2021,nucleotide catabolic process (GO:0009166),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,GPX1;PNP;NT5C2;SAMHD1;XDH
GO_Biological_Process_2021,positive regulation of alpha-beta T cell proliferation (GO:0046641),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,IL23A;PTPN22;HLA-A;RASAL3;CCR2
GO_Biological_Process_2021,positive regulation of double-strand break repair via nonhomologous end joining (GO:2001034),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,MAD2L2;PARP3;SMCHD1;DTX3L;PARP9
GO_Biological_Process_2021,positive regulation of immunoglobulin mediated immune response (GO:0002891),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,MAD2L2;TFRC;CD226;TP53BP1;NECTIN2
GO_Biological_Process_2021,purine ribonucleoside monophosphate biosynthetic process (GO:0009168),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,ATIC;IMPDH1;AMPD2;AMPD3;GART
GO_Biological_Process_2021,regulation of amyloid-beta clearance (GO:1900221),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,ROCK1;IFNG;IFNGR1;TREM2;TNF
GO_Biological_Process_2021,regulation of interleukin-13 production (GO:0032656),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,SPHK2;IRF4;LEF1;TNFRSF21;LILRA5
GO_Biological_Process_2021,T cell mediated immunity (GO:0002456),5/16,0.1377786151797856,0.4335379885275951,0,0,2.116537580732316,4.195204208136007,CD8A;CRTAM;BTN3A3;BTN3A2;HLA-A
GO_Biological_Process_2021,membrane protein proteolysis (GO:0033619),10/39,0.1382612293788384,0.4342924447409064,0,0,1.6061654546876225,3.177975699612537,ADAM19;MMP7;TGFB1;HM13;SPPL2A;ERAP1;ADAM10;MYH9;PRKCQ;NFKB1
GO_Biological_Process_2021,protein acylation (GO:0043543),10/39,0.1382612293788384,0.4342924447409064,0,0,1.6061654546876225,3.177975699612537,ZDHHC18;ZDHHC20;SPHK1;NAT10;ZDHHC6;EP300;NAT9;GLUL;ZDHHC17;CLOCK
GO_Biological_Process_2021,regulation of receptor-mediated endocytosis (GO:0048259),10/39,0.1382612293788384,0.4342924447409064,0,0,1.6061654546876225,3.177975699612537,SGIP1;APOC2;SERPINE1;FLOT1;AAK1;BMP2K;PPT1;CBL;BICD1;PICALM
GO_Biological_Process_2021,divalent inorganic cation homeostasis (GO:0072507),7/25,0.1388355530917199,0.4348235506929815,0,0,1.811070203593568,3.5758949423668707,CYP27B1;SELENON;TMC8;TRPM7;ATP13A2;FAM20A;CNNM2
GO_Biological_Process_2021,negative regulation of response to endoplasmic reticulum stress (GO:1903573),7/25,0.1388355530917199,0.4348235506929815,0,0,1.811070203593568,3.5758949423668707,USP25;XBP1;SELENOS;LRRK2;ALOX5;LPCAT3;TMBIM6
GO_Biological_Process_2021,positive regulation of peptidyl-threonine phosphorylation (GO:0010800),7/25,0.1388355530917199,0.4348235506929815,0,0,1.811070203593568,3.5758949423668707,CEMIP;TGFB1;SPHK1;PLK1;CHI3L1;CALM1;UBE2K
GO_Biological_Process_2021,regulation of microtubule depolymerization (GO:0031114),7/25,0.1388355530917199,0.4348235506929815,0,0,1.811070203593568,3.5758949423668707,TPX2;APC;MAP1S;TAOK1;CIB1;ARHGEF2;HDGFL3
GO_Biological_Process_2021,regulation of protein processing (GO:0070613),7/25,0.1388355530917199,0.4348235506929815,0,0,1.811070203593568,3.5758949423668707,PRNP;SERPINE2;LRRK2;ADAM8;NLRC4;CHAC1;RUNX1
GO_Biological_Process_2021,phosphate-containing compound metabolic process (GO:0006796),44/212,0.1394888254282946,0.4366146723586934,0,0,1.221372693324611,2.405824249378935,CERKL;PANK2;PFKFB4;PFKFB3;CERK;SLC20A1;LRRK2;HTR2B;PDXP;PLB1;HK2;HK3;PAK1;DUSP10;PPIP5K2;INPP5D;PLCG2;ACP2;EPHB2;PAK2;NADK;DUSP5;TIGAR;TGFB1;PLA2G4D;SPHK2;PLA2G4E;SPHK1;GFPT2;LIMK2;STAT3;IPMK;GFPT1;INPP4A;BCKDK;MINPP1;PLCB3;PTPRC;TAOK1;PLBD1;ALPL;TOP1;CALM1;PLCB2
GO_Biological_Process_2021,cellular response to insulin stimulus (GO:0032869),28/129,0.1399864201915009,0.4379167022317216,0,0,1.2922287100504923,2.540792830701148,ATP6V1A;SHC1;PDE3B;TCIRG1;ATP6V1D;RAB8A;RAB8B;PRKCI;XBP1;ATP6V0B;GOT1;PDPK1;MARS1;MYO5A;RAB10;FER;CEACAM1;RAB31;PKM;SELENOS;EPRS1;APC;RAB13;GRB2;SOS1;LPIN2;BCAR1;PTPN2
GO_Biological_Process_2021,homotypic cell-cell adhesion (GO:0034109),11/44,0.1419793663853255,0.4431176850827641,0,0,1.55268878177866,3.030962685343589,PDGFRA;RAP2B;UBASH3B;ITGB3;ACTN1;PLEK;FN1;MYH9;DSC2;VCL;FERMT3
GO_Biological_Process_2021,mRNA catabolic process (GO:0006402),11/44,0.1419793663853255,0.4431176850827641,0,0,1.55268878177866,3.030962685343589,ZC3H12D;ERN1;ZFP36;AGO3;XRN1;DHX34;PDE12;TUT4;SLFN14;XRN2;DCP2
GO_Biological_Process_2021,positive regulation of cell division (GO:0051781),11/44,0.1419793663853255,0.4431176850827641,0,0,1.55268878177866,3.030962685343589,MAP10;HTR2B;KIF14;TAS2R13;KIF23;PKN2;CDC6;ECT2;KIF20B;AURKB;CDC25B
GO_Biological_Process_2021,positive regulation of receptor-mediated endocytosis (GO:0048260),11/44,0.1419793663853255,0.4431176850827641,0,0,1.55268878177866,3.030962685343589,GREM1;DGKD;SGIP1;SERPINE1;PPT1;ARRB2;CBL;BICD1;SELE;SCYL2;VEGFA
GO_Biological_Process_2021,regulation of protein ubiquitination (GO:0031396),24/109,0.1446467893939191,0.4510211943166898,0,0,1.3159061234055376,2.5442524369548503,FANCI;IVNS1ABP;DAXX;LRRK2;PHF23;SPHK1;LAPTM5;UBE2D1;TNFAIP3;ISG15;BCL10;ARRB2;BRCA1;GTPBP4;MALT1;SMAD7;FKBP1A;U2AF2;TBC1D7;SPOPL;N4BP1;BIRC2;BIRC3;CENPS
GO_Biological_Process_2021,regulation of stress-activated MAPK cascade (GO:0032872),12/49,0.1446798649429679,0.4510211943166898,0,0,1.5107847495822535,2.920697128985433,GREM1;MAP2K1;RAP2A;IL26;PDCD10;TAOK1;FAS;NOD2;FOXM1;AGER;RASGRP1;MAP4K4
GO_Biological_Process_2021,enzyme linked receptor protein signaling pathway (GO:0007167),30/140,0.1466868789864917,0.4539208711908732,0,0,1.2712760443661242,2.440157209269608,FLT1;CSF1;SHC1;SRC;NEDD9;CD3E;RASGRP4;PTPRG;BDKRB2;BLNK;FYN;EPHB2;JAK3;PDGFRA;STYK1;FGR;HCK;ZAP70;FER;CD4;CD8A;FES;LCK;CD7;CASS4;CLNK;LCP2;BCAR1;EPHA2;DDR2
GO_Biological_Process_2021,chondroitin sulfate metabolic process (GO:0030204),8/30,0.1469713185379428,0.4539208711908732,0,0,1.6935359258305434,3.2473853220553126,VCAN;CHST11;CHSY1;HEXA;DSE;CSGALNACT2;CHST15;CHSY3
GO_Biological_Process_2021,termination of RNA polymerase I transcription (GO:0006363),8/30,0.1469713185379428,0.4539208711908732,0,0,1.6935359258305434,3.2473853220553126,TAF1D;TBP;TAF1B;CCNH;GTF2H1;POLR2H;MNAT1;GTF2H4
GO_Biological_Process_2021,negative regulation of cellular protein metabolic process (GO:0032269),21/94,0.147416063798398,0.4539208711908732,0,0,1.3405299504169572,2.566439662515329,SERPINB3;CSTB;BTG2;EDN1;SERPINE2;EIF4A3;GZMB;SAMD4B;YBX1;TYMS;GIGYF2;NFKB1;PATL2;DHFR;DNAJC1;EPRS1;CAPRIN1;ENC1;CALR;PAIP2;CNOT9
GO_Biological_Process_2021,nucleosome organization (GO:0034728),21/94,0.147416063798398,0.4539208711908732,0,0,1.3405299504169572,2.566439662515329,H2AX;NFE2;SETD2;DAXX;SMARCC1;SUPT16H;HMGB2;SMARCA5;RSF1;INO80;ARID1A;SPTY2D1;MACROH2A1;H1-3;H1-2;H1-5;H1-4;MCM3AP;PAF1;PADI4;BPTF
GO_Biological_Process_2021,adipose tissue development (GO:0060612),4/12,0.1478507386109327,0.4539208711908732,0,0,2.327956989247312,4.450010924887229,XBP1;SPTLC2;SH3PXD2B;ARID5B
GO_Biological_Process_2021,ATP transport (GO:0015867),4/12,0.1478507386109327,0.4539208711908732,0,0,2.327956989247312,4.450010924887229,CR1;SLC17A9;CD47;SLC25A24
GO_Biological_Process_2021,dosage compensation by inactivation of X chromosome (GO:0009048),4/12,0.1478507386109327,0.4539208711908732,0,0,2.327956989247312,4.450010924887229,SMCHD1;RBM15;BRCA1;LRIF1
GO_Biological_Process_2021,early endosome to Golgi transport (GO:0034498),4/12,0.1478507386109327,0.4539208711908732,0,0,2.327956989247312,4.450010924887229,LMAN1;EHD3;TMED9;TRAPPC10
